"","Estimate","2.5 %","97.5 %","iteration","predictor"
"totalYellows",1.01345115885885,1.01050800034717,1.01640993039466,12,"totalYellows"
"height",1.07697492428869,0.999761903093379,1.16040245124134,12,"height"
"age",1.17869907853398,1.08850829819591,1.27656561763541,12,"age"
"wins.loss",0.800123153901165,0.746934774130522,0.855866721295048,12,"wins.loss"
"goals",1.14889666117334,1.06139359465033,1.24265393273223,12,"goals"
"posD",1.23431506286984,1.09614228862423,1.39011226466813,12,"posD"
"posG",1.66569001948502,1.35505793265584,2.04013816411268,12,"posG"
"posM",0.727418822149624,0.640133694480788,0.825901543983421,12,"posM"
"countryEngland",0.861325682194435,0.769791000902424,0.962175812866744,12,"countryEngland"
"countryFrance",1.33332215749833,1.1700286306901,1.51551395872152,12,"countryFrance"
"countryGermany",0.759463111999152,0.673293414533341,0.85493984936974,12,"countryGermany"
"skintone:countryEngland",1.0395374866575,0.942290138683335,1.14637242749011,12,"skintone:countryEngland"
"skintone:countryFrance",0.838564245077409,0.746047617941195,0.940890546606223,12,"skintone:countryFrance"
"skintone:countryGermany",1.16362368482711,1.03130564785228,1.30882939665987,12,"skintone:countryGermany"
"(Intercept)",0.00281388161049035,0.00247536141385003,0.00319218245828518,13,"(Intercept)"
"skintone",1.11087051033363,1.03587362000908,1.19035168668253,13,"skintone"
"totalYellows",1.01352105572307,1.01042654829936,1.01664589188144,13,"totalYellows"
"height",1.05928590292509,0.981960627860539,1.14287253322086,13,"height"
"age",1.15000932090081,1.05764762845151,1.25053609279549,13,"age"
"wins.loss",0.796867968386959,0.741478607230468,0.855324534524941,13,"wins.loss"
"goals",1.13696604567632,1.04453952298975,1.2372818327791,13,"goals"
"posD",1.22112647748694,1.08208702484574,1.3781072327428,13,"posD"
"posG",1.64733332125705,1.32782903368024,2.03770370432904,13,"posG"
"posM",0.741400024965943,0.649880902533154,0.845181926639156,13,"posM"
"countryEngland",0.883924552825147,0.787709577232499,0.990544895434985,13,"countryEngland"
"countryFrance",1.24280226457499,1.08521799829727,1.42007972769468,13,"countryFrance"
"countryGermany",0.796652632865028,0.705046264194936,0.898615078246946,13,"countryGermany"
"skintone:countryEngland",1.01800270321739,0.918354777715105,1.1279969164926,13,"skintone:countryEngland"
"skintone:countryFrance",0.858702821717754,0.75975193130884,0.969023045768133,13,"skintone:countryFrance"
"skintone:countryGermany",1.16572265802672,1.03246470672754,1.31266302074298,13,"skintone:countryGermany"
"(Intercept)",0.0027321302084834,0.00240327237645117,0.00309942018996501,14,"(Intercept)"
"skintone",1.13561604410013,1.05971559860045,1.21598145874811,14,"skintone"
"totalYellows",1.0138619339202,1.01077292044199,1.01698159697726,14,"totalYellows"
"height",1.05894744297409,0.980329357313445,1.14401672006204,14,"height"
"age",1.13612897339914,1.04560890493429,1.23465707359744,14,"age"
"wins.loss",0.783749421286015,0.726844492023143,0.843907988241567,14,"wins.loss"
"goals",1.15311040797709,1.05642940131201,1.25769842665067,14,"goals"
"posD",1.22486521771702,1.08308976053045,1.38503355295812,14,"posD"
"posG",1.68641317468542,1.36691060159434,2.07496072476267,14,"posG"
"posM",0.734928018818076,0.645606007229508,0.835991718946178,14,"posM"
"countryEngland",0.881741159339832,0.78175570893887,0.992758076762684,14,"countryEngland"
"countryFrance",1.19196633794572,1.0394697195387,1.36342388584273,14,"countryFrance"
"countryGermany",0.850234337892912,0.752683444934077,0.959027168046652,14,"countryGermany"
"skintone:countryEngland",1.03922384683062,0.938630607275227,1.15044478296088,14,"skintone:countryEngland"
"skintone:countryFrance",0.869920206474938,0.768424933248086,0.982814718978164,14,"skintone:countryFrance"
"skintone:countryGermany",1.14475876101628,1.01532635973979,1.28730430666744,14,"skintone:countryGermany"
"(Intercept)",0.00271368060433839,0.00237845076332628,0.00308957991219043,15,"(Intercept)"
"skintone",1.10498488461254,1.03057332299922,1.1837593248311,15,"skintone"
"totalYellows",1.01385483110607,1.01062963495028,1.0171071236353,15,"totalYellows"
"height",1.04856078842483,0.968614042981191,1.13527095192366,15,"height"
"age",1.15634356646622,1.06359573822897,1.25732820593128,15,"age"
"wins.loss",0.798743794668389,0.744053573508899,0.85642753468674,15,"wins.loss"
"goals",1.1291845577014,1.0397240349496,1.22555374389437,15,"goals"
"posD",1.17918081951556,1.04357281012539,1.33231283744567,15,"posD"
"posG",1.7017101246282,1.36958019884914,2.10770251369649,15,"posG"
"posM",0.728669021985441,0.637581557670208,0.832085600997194,15,"posM"
"countryEngland",0.833446317103895,0.739815203383595,0.937337951588318,15,"countryEngland"
"countryFrance",1.20887886914237,1.04854321366695,1.38951730825176,15,"countryFrance"
"countryGermany",0.869496167094033,0.769131185968284,0.981578978480208,15,"countryGermany"
"skintone:countryEngland",1.00688463513354,0.908883335974042,1.11491745945636,15,"skintone:countryEngland"
"skintone:countryFrance",0.861391750130795,0.757717764183355,0.977388049026665,15,"skintone:countryFrance"
"skintone:countryGermany",1.20303522583577,1.06591998688401,1.35453392113036,15,"skintone:countryGermany"
"(Intercept)",0.00268578640572745,0.00236111406374841,0.00304818293698872,16,"(Intercept)"
"skintone",1.11000455025963,1.03411105598611,1.19043142435357,16,"skintone"
"totalYellows",1.01476164757796,1.01172327849708,1.01783255692858,16,"totalYellows"
"height",1.09369640595511,1.01429939352473,1.17951744775085,16,"height"
"age",1.22855692749563,1.13160090243411,1.33410351972503,16,"age"
"wins.loss",0.7893859632262,0.73574891716518,0.845734394871156,16,"wins.loss"
"goals",1.1328601357718,1.0473985457604,1.22464323664615,16,"goals"
"posD",1.16548826471903,1.03398284632746,1.31359134375548,16,"posD"
